PROVINCE,REGION,G_URBRUR,GCAGEGR6,CSEX,G_CEDUC,G_CSTUD,G_CLFSST,GFAMTYPE,G_HHSIZE,G_HEDUC,G_HSTUD,EV_Q01,EV_Q02,NU_Q01,NU_Q02A,NU_Q02B,NU_Q02C,NU_Q02D,NU_Q02E,NU_Q02F,NU_Q02I,NU_G02K,NU_G02
59,6,3,4,1,1,2,2,3,1,1,2,1,3,6,6,6,6,6,6,6,6,6,6
24,2,1,4,1,1,2,3,4,3,1,2,2,6,2,2,2,2,2,2,2,1,2,2
47,4,5,6,2,1,2,3,2,2,1,2,2,6,2,2,2,2,2,2,2,2,1,2
48,5,5,5,1,1,2,1,2,2,1,2,1,3,6,6,6,6,6,6,6,6,6,6
24,2,1,1,1,2,1,1,1,4,2,1,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,5,2,2,2,1,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,4,6,2,2,2,3,2,2,3,2,1,3,6,6,6,6,6,6,6,6,6,6
12,1,5,6,1,1,2,3,3,1,1,2,2,6,2,2,1,2,2,2,2,1,2,2
12,1,4,6,2,2,2,3,3,1,2,2,1,4,6,6,6,6,6,6,6,6,6,6
46,4,4,2,2,3,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
13,1,4,6,1,1,2,1,2,2,1,2,2,6,1,2,2,2,2,2,2,2,2,1
24,2,4,6,2,3,2,3,3,1,3,2,1,4,6,6,6,6,6,6,6,6,6,6
11,1,6,3,2,3,2,1,3,1,3,2,1,4,6,6,6,6,6,6,6,6,6,6
48,5,5,1,1,1,1,1,2,4,2,1,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,6,2,1,2,3,3,1,1,2,2,6,2,2,2,2,2,2,1,2,2,2
10,1,5,6,1,1,2,1,3,1,1,2,2,6,2,2,2,2,2,2,1,2,2,2
24,2,5,6,1,1,2,1,3,1,1,2,2,6,2,2,2,2,2,2,1,2,2,2
48,5,5,5,1,1,2,3,2,2,1,2,2,6,2,2,2,2,2,2,2,2,2,1
35,3,4,2,2,1,2,1,2,3,2,2,1,4,6,6,6,6,6,6,6,6,6,6
59,6,4,4,1,1,2,1,4,2,1,2,1,1,1,6,6,6,6,6,6,6,6,6
47,4,4,4,1,2,2,1,1,4,2,2,1,3,7,6,6,6,6,6,6,6,6,6
24,2,5,2,1,1,2,1,1,3,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,3,2,1,2,1,3,1,1,2,1,4,6,6,6,6,6,6,6,6,6,6
47,4,4,1,2,1,1,3,1,4,2,1,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,2,2,2,2,1,2,2,3,1,1,4,6,6,6,6,6,6,6,6,6,6
13,1,5,4,1,1,2,3,3,1,1,2,2,6,7,2,1,2,2,2,2,2,2,2
24,2,4,1,1,2,2,1,4,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
12,1,5,6,2,1,2,3,3,1,1,2,2,6,2,2,2,2,2,1,2,2,2,2
35,3,4,3,2,2,2,1,1,3,2,2,1,3,6,6,6,6,6,6,6,6,6,6
48,5,4,4,2,2,1,1,2,3,3,1,1,4,6,6,6,6,6,6,6,6,6,6
24,2,5,5,2,1,2,3,2,3,2,2,2,6,2,2,2,2,2,2,1,2,2,2
24,2,1,2,2,3,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,4,4,2,1,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
59,6,3,2,1,1,2,1,1,4,1,2,1,4,6,6,6,6,6,6,6,6,6,6
46,4,4,1,1,3,1,1,4,2,3,1,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,5,1,2,2,1,2,2,2,2,1,3,6,6,6,6,6,6,6,6,6,6
24,2,5,2,1,2,2,1,1,3,2,2,1,4,6,6,6,6,6,6,6,6,6,6
13,1,5,2,2,1,2,1,2,2,2,2,2,6,1,2,1,2,2,2,2,2,2,2
47,4,4,2,1,2,2,1,3,1,2,2,1,3,6,6,6,6,6,6,6,6,6,6
46,4,4,3,1,3,2,1,1,4,3,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,6,2,2,2,3,3,1,2,2,2,6,2,2,2,2,2,2,2,2,1,2
24,2,4,6,2,1,2,3,3,1,1,2,2,6,2,2,2,2,1,2,2,2,2,2
35,3,4,3,2,2,2,1,1,4,3,2,1,4,6,6,6,6,6,6,6,6,6,6
48,5,4,4,2,1,2,3,2,3,3,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,4,3,2,1,2,1,1,4,2,1,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,4,1,2,2,1,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,5,5,2,1,2,3,2,2,2,2,2,6,1,2,1,2,2,2,2,2,2,1
46,4,4,2,2,2,2,1,1,3,3,2,1,4,6,6,6,6,6,6,6,6,6,6
47,4,4,6,2,2,2,3,2,2,2,2,2,6,2,2,2,2,1,2,2,2,2,2
35,3,4,6,2,1,2,3,2,2,1,2,2,6,2,1,1,2,2,2,2,2,2,2
35,3,2,6,1,1,2,3,3,1,1,2,2,6,2,2,2,2,1,2,2,2,2,2
46,4,4,2,2,3,1,1,1,3,3,1,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,2,2,2,2,1,1,4,2,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,5,4,1,2,2,1,2,3,2,1,1,4,6,6,6,6,6,6,6,6,6,6
46,4,5,2,1,1,2,1,3,1,1,2,1,4,6,6,6,6,6,6,6,6,6,6
46,4,4,3,2,1,2,1,1,3,3,2,1,3,6,6,6,6,6,6,6,6,6,6
24,2,1,2,2,2,2,1,4,2,3,1,1,4,6,6,6,6,6,6,6,6,6,6
10,1,5,2,2,2,2,1,1,4,2,2,1,4,6,6,6,6,6,6,6,6,6,6
12,1,5,6,2,3,2,3,3,1,3,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,4,4,1,1,2,2,2,2,1,2,2,6,1,2,2,2,2,2,2,2,2,1
24,2,1,5,1,2,2,3,2,2,2,2,1,3,6,6,6,6,6,6,6,6,6,6
24,2,4,2,1,2,2,1,1,4,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,5,6,1,2,2,3,2,2,2,2,2,6,2,2,2,2,2,2,1,2,2,2
59,6,3,5,2,1,2,1,3,1,1,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,1,3,1,1,2,2,1,3,1,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,4,6,2,2,2,3,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,1,3,1,2,2,1,3,1,2,2,1,2,6,6,6,6,6,6,6,6,6,6
48,5,5,5,2,2,2,1,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,1,5,1,1,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
46,4,5,6,2,2,2,3,2,2,2,2,1,3,6,6,6,6,6,6,6,6,6,6
24,2,5,3,1,2,2,1,1,4,3,2,1,4,6,6,6,6,6,6,6,6,6,6
48,5,5,2,2,1,2,1,1,3,2,2,1,4,2,6,6,6,6,6,6,6,6,6
35,3,4,4,2,1,2,3,3,1,1,2,2,6,2,2,1,2,2,2,2,2,2,2
35,3,4,4,1,3,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
10,1,5,6,2,2,2,3,3,1,2,2,2,6,1,2,2,2,2,2,1,2,2,2
35,3,4,3,1,3,2,1,1,4,3,1,1,4,6,6,6,6,6,6,6,6,6,6
13,1,5,5,1,3,2,3,3,1,3,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,5,3,1,2,2,1,1,4,2,2,1,2,6,6,6,6,6,6,6,6,6,6
46,4,5,3,1,2,2,1,2,2,2,2,1,3,6,6,6,6,6,6,6,6,6,6
24,2,5,3,2,3,2,1,1,2,3,2,1,3,6,6,6,6,6,6,6,6,6,6
24,2,4,2,2,3,2,1,1,4,3,2,1,3,6,6,6,6,6,6,6,6,6,6
35,3,2,3,1,1,2,1,1,4,1,1,1,3,6,6,6,6,6,6,6,6,6,6
59,6,5,1,1,2,1,1,2,4,3,1,1,4,6,6,6,6,6,6,6,6,6,6
48,5,5,4,2,1,2,1,2,3,1,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,5,2,2,2,1,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,4,2,1,2,1,2,2,2,2,1,3,6,6,6,6,6,6,6,6,6,6
10,1,5,1,2,1,1,1,4,3,2,1,1,4,6,6,6,6,6,6,6,6,6,6
35,3,5,3,1,2,2,1,3,1,2,2,1,1,6,6,6,6,6,6,6,6,6,6
24,2,4,2,2,2,2,1,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
48,5,4,2,2,1,2,1,2,4,3,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,5,3,1,2,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,4,3,2,2,2,1,1,4,2,1,1,4,6,6,6,6,6,6,6,6,6,6
11,1,6,3,2,1,2,1,2,2,1,2,1,1,1,6,6,6,6,6,6,6,6,6
24,2,4,4,2,2,2,1,2,3,3,2,1,1,6,6,6,6,6,6,6,6,6,6
59,6,4,6,1,2,2,3,2,2,2,2,1,3,6,6,6,6,6,6,6,6,6,6
48,5,4,4,1,1,2,1,2,2,1,2,1,3,6,6,6,6,6,6,6,6,6,6
46,4,4,4,2,2,2,1,3,1,2,2,1,4,6,6,6,6,6,6,6,6,6,6
13,1,4,5,2,3,2,3,3,1,3,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,5,1,2,2,3,2,3,2,2,1,3,6,6,6,6,6,6,6,6,6,6
59,6,5,5,2,1,2,1,2,2,1,2,1,4,6,6,6,6,6,6,6,6,6,6
59,6,4,5,2,2,2,3,3,1,2,2,1,3,6,6,6,6,6,6,6,6,6,6
47,4,5,4,1,1,2,1,2,2,2,2,2,6,2,2,2,2,1,2,2,2,2,2
35,3,5,5,1,2,2,3,2,2,2,2,2,6,2,2,2,2,1,2,2,2,2,2
46,4,4,3,2,2,1,1,2,2,2,1,1,3,6,6,6,6,6,6,6,6,6,6
35,3,4,4,2,3,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
59,6,4,2,1,3,2,1,3,1,3,2,1,4,6,6,6,6,6,6,6,6,6,6
10,1,4,3,1,2,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
47,4,5,5,1,1,2,1,3,1,1,2,2,6,2,2,1,2,2,2,2,2,2,2
13,1,4,6,1,1,2,3,3,1,1,2,2,6,2,2,1,2,1,2,2,2,2,2
59,6,4,5,2,2,2,2,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
10,1,4,2,2,2,2,1,1,3,2,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,1,2,2,3,2,1,4,2,3,1,1,4,6,6,6,6,6,6,6,6,6,6
35,3,2,2,2,2,2,3,2,4,3,2,1,2,6,6,6,6,6,6,6,6,6,6
35,3,5,4,2,2,2,1,2,3,2,1,1,3,6,6,6,6,6,6,6,6,6,6
48,5,5,5,1,2,2,1,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,4,6,2,2,2,1,3,1,2,2,2,6,2,2,2,2,2,2,2,2,2,1
48,5,5,2,1,3,2,1,4,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
48,5,5,5,1,2,2,2,3,1,2,2,1,3,6,6,6,6,6,6,6,6,6,6
59,6,3,6,1,2,2,3,3,1,2,2,1,4,6,6,6,6,6,6,6,6,6,6
12,1,5,3,2,2,2,1,1,3,2,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,1,3,1,3,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,5,6,2,1,2,3,3,1,1,2,2,6,2,2,2,1,2,2,2,1,2,2
24,2,4,4,2,1,2,1,3,1,1,2,2,6,2,2,2,2,2,2,2,1,2,2
12,1,4,6,2,1,2,1,1,4,1,2,2,6,2,2,2,2,1,2,2,2,2,2
48,5,4,5,1,2,2,1,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,4,1,2,2,1,1,4,2,1,1,4,6,6,6,6,6,6,6,6,6,6
11,1,6,4,1,2,2,1,3,1,2,2,1,4,6,6,6,6,6,6,6,6,6,6
46,4,5,6,1,1,2,3,3,1,1,2,2,6,2,1,2,2,2,2,2,2,2,2
48,5,4,2,2,3,1,3,3,1,3,1,1,4,6,6,6,6,6,6,6,6,6,6
48,5,4,2,1,1,2,1,3,1,1,2,2,6,2,2,2,2,2,2,2,1,2,2
35,3,4,6,1,1,2,3,2,2,1,2,1,4,6,6,6,6,6,6,6,6,6,6
13,1,4,3,2,2,2,1,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,4,1,2,2,1,2,3,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,6,2,1,2,3,3,1,1,2,2,6,2,2,1,2,2,2,2,2,2,2
12,1,4,5,2,3,2,3,3,1,3,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,5,4,1,2,2,1,1,4,2,1,2,6,2,2,2,2,2,2,2,1,2,2
10,1,4,4,2,3,2,3,2,3,3,1,1,4,6,6,6,6,6,6,6,6,6,6
59,6,4,1,1,1,1,1,1,4,2,1,1,4,6,6,6,6,6,6,6,6,6,6
59,6,4,5,1,3,2,1,3,1,3,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,5,3,2,2,2,1,2,2,2,1,2,6,2,2,2,2,2,2,2,1,2,2
46,4,5,6,1,1,2,3,3,1,1,2,2,6,2,1,1,2,2,2,2,2,2,2
10,1,5,5,1,1,2,3,2,2,1,2,2,6,2,2,2,2,2,2,2,1,2,2
35,3,4,3,2,2,2,3,1,3,2,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,1,5,1,1,2,1,2,2,1,2,2,6,2,2,2,2,2,2,2,1,2,2
35,3,4,1,2,1,2,2,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
59,6,4,6,1,1,2,3,3,1,1,2,2,6,2,2,2,1,2,2,2,2,2,2
35,3,5,2,1,2,2,1,2,3,2,2,1,3,6,6,6,6,6,6,6,6,6,6
47,4,5,6,2,1,2,3,2,2,1,2,1,1,6,6,6,6,6,6,6,6,6,6
24,2,4,5,2,1,2,3,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,4,4,1,3,2,1,2,2,3,2,1,3,6,6,6,6,6,6,6,6,6,6
35,3,4,5,2,1,2,3,3,1,1,2,2,6,2,1,2,2,2,2,2,2,2,2
12,1,5,6,2,1,2,3,2,4,2,2,1,1,6,6,6,6,6,6,6,6,6,6
24,2,4,3,1,2,2,1,1,4,2,2,1,3,6,6,6,6,6,6,6,6,6,6
47,4,5,6,2,1,2,3,2,2,1,2,2,6,2,2,2,2,2,2,2,1,2,2
35,3,4,1,1,1,1,1,2,4,3,1,1,3,6,6,6,6,6,6,6,6,6,6
35,3,4,6,1,3,2,3,3,1,3,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,3,1,1,2,1,3,1,1,2,1,2,6,6,6,6,6,6,6,6,6,6
35,3,4,1,1,1,1,3,2,4,2,1,1,4,6,6,6,6,6,6,6,6,6,6
48,5,5,1,2,1,2,1,1,3,1,2,1,4,6,6,6,6,6,6,6,6,6,6
47,4,5,6,2,2,2,3,3,1,2,2,2,6,2,2,2,1,2,2,2,2,2,2
24,2,1,3,2,2,2,3,1,4,2,2,1,2,6,6,6,6,6,6,6,6,6,6
12,1,5,4,2,2,2,1,1,4,2,1,1,4,6,6,6,6,6,6,6,6,6,6
10,1,5,5,1,1,2,1,2,2,1,2,2,6,2,2,1,2,2,2,2,2,2,2
24,2,5,6,1,1,2,3,2,2,1,2,2,6,2,2,2,2,2,1,2,1,2,2
48,5,5,5,2,1,2,1,3,1,1,2,1,3,6,6,6,6,6,6,6,6,6,6
13,1,4,3,1,3,2,1,3,1,3,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,6,1,2,2,3,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,2,2,1,3,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
48,5,4,5,1,1,2,1,2,2,1,2,1,4,6,6,6,6,6,6,6,6,6,6
12,1,4,5,1,3,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,5,2,1,2,2,1,2,2,2,2,1,3,6,6,6,6,6,6,6,6,6,6
47,4,4,6,2,1,2,3,3,1,1,2,1,3,6,6,6,6,6,6,6,6,6,6
35,3,4,5,1,2,2,3,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,6,2,1,2,3,3,1,1,2,2,6,2,2,1,2,2,2,2,2,1,2
35,3,4,5,2,2,2,3,3,1,2,2,2,6,2,2,1,2,2,2,2,2,2,2
35,3,4,6,1,1,2,3,3,1,1,2,2,6,2,2,2,2,2,2,2,2,1,2
35,3,5,5,1,1,2,1,2,2,1,2,2,6,2,2,2,2,2,2,2,1,2,2
46,4,4,4,2,1,2,1,3,1,1,2,1,4,6,6,6,6,6,6,6,6,6,6
59,6,3,3,2,2,2,1,1,4,2,2,1,3,6,6,6,6,6,6,6,6,6,6
35,3,4,6,2,1,2,3,3,1,1,2,2,6,2,2,2,2,1,2,2,1,2,2
48,5,4,2,2,3,1,1,2,2,3,1,1,4,6,6,6,6,6,6,6,6,6,6
24,2,5,2,2,2,2,1,1,4,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,6,2,1,2,3,3,1,1,2,2,6,2,2,2,2,2,2,2,2,2,1
24,2,5,5,2,1,2,1,2,2,1,2,1,3,6,6,6,6,6,6,6,6,6,6
12,1,5,2,1,2,2,1,2,3,2,2,1,4,6,6,6,6,6,6,6,6,6,6
47,4,5,6,1,2,2,1,2,2,2,2,2,6,2,2,2,2,1,2,1,2,1,1
47,4,4,3,1,2,2,1,1,4,2,2,1,4,6,6,6,6,6,6,6,6,6,6
48,5,5,3,2,1,2,3,1,3,1,1,1,4,6,6,6,6,6,6,6,6,6,6
24,2,4,6,2,1,2,3,3,1,1,2,2,6,2,2,1,2,2,2,2,2,2,2
35,3,5,3,1,3,2,1,1,4,3,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,5,2,2,1,2,1,1,3,1,2,1,2,6,6,6,6,6,6,6,6,6,6
47,4,5,5,2,1,2,1,3,1,1,2,1,4,6,6,6,6,6,6,6,6,6,6
47,4,4,5,1,2,2,1,2,2,2,2,2,6,2,2,2,2,2,2,1,2,2,2
24,2,5,5,2,1,2,3,2,2,1,2,1,3,6,6,6,6,6,6,6,6,6,6
59,6,5,5,1,2,2,1,2,2,2,2,1,3,6,6,6,6,6,6,6,6,6,6
24,2,4,5,2,2,2,3,2,2,2,2,1,3,6,6,6,6,6,6,6,6,6,6
59,6,5,4,2,2,2,2,2,2,2,2,1,3,6,6,6,6,6,6,6,6,6,6
59,6,5,6,1,3,2,3,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
12,1,4,4,2,3,2,1,3,1,3,2,1,4,6,6,6,6,6,6,6,6,6,6
59,6,5,4,1,2,2,1,3,1,2,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,4,3,1,2,2,1,1,4,2,2,1,3,6,6,6,6,6,6,6,6,6,6
46,4,5,6,2,2,2,1,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
11,1,6,2,2,3,2,1,2,3,3,2,1,4,6,6,6,6,6,6,6,6,6,6
10,1,4,5,2,1,2,3,2,2,1,2,2,6,2,2,1,2,2,2,2,1,2,2
47,4,5,1,2,1,1,3,1,4,3,1,1,4,6,6,6,6,6,6,6,6,6,6
12,1,4,3,2,2,2,1,1,3,2,2,1,4,6,6,6,6,6,6,6,6,6,6
12,1,4,5,1,2,2,1,2,2,3,2,2,6,2,2,2,2,2,2,2,1,2,1
59,6,5,3,2,2,2,3,1,4,2,2,1,4,6,6,6,6,6,6,6,6,6,6
46,4,4,3,1,3,2,1,1,4,3,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,5,5,2,1,2,3,3,1,1,2,1,3,6,6,6,6,6,6,6,6,6,6
24,2,1,6,1,2,2,3,2,2,2,2,1,3,6,6,6,6,6,6,6,6,6,6
35,3,4,4,2,2,2,1,1,4,2,1,1,4,6,6,6,6,6,6,6,6,6,6
48,5,4,2,2,1,2,1,4,2,1,2,1,4,6,6,6,6,6,6,6,6,6,6
59,6,3,5,2,3,1,3,2,2,3,1,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,3,2,2,2,1,1,4,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,2,2,3,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,4,5,1,1,2,3,2,2,1,2,2,6,2,2,2,2,1,2,1,2,1,2
24,2,5,6,2,1,2,3,2,2,1,2,2,6,2,2,2,2,2,2,2,2,1,2
24,2,1,4,2,1,2,1,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,4,2,2,2,1,2,2,2,1,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,6,1,1,2,3,2,2,1,2,1,2,6,6,6,6,6,6,6,6,6,6
24,2,4,3,2,2,2,1,1,3,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,2,4,2,2,2,1,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
13,1,5,5,2,1,2,3,2,2,1,2,2,6,2,2,2,2,2,2,1,2,2,2
48,5,4,5,2,3,1,1,2,2,3,1,1,3,6,6,6,6,6,6,6,6,6,6
35,3,5,4,2,2,1,3,1,4,2,1,1,4,6,6,6,6,6,6,6,6,6,6
48,5,5,3,2,3,2,1,1,3,3,2,1,4,6,6,6,6,6,6,6,6,6,6
48,5,4,5,1,3,2,1,2,3,3,1,1,4,6,6,6,6,6,6,6,6,6,6
11,1,6,4,2,1,2,1,2,2,2,2,2,6,2,2,2,2,2,2,1,2,2,2
35,3,2,4,1,1,2,1,2,4,2,2,1,3,6,6,6,6,6,6,6,6,6,6
46,4,5,4,1,2,2,1,2,3,2,1,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,5,2,2,2,1,3,1,2,2,1,4,6,6,6,6,6,6,6,6,6,6
48,5,4,6,2,2,2,3,3,1,2,2,2,6,2,2,2,2,2,2,2,2,1,2
13,1,5,5,1,1,2,1,2,2,2,2,2,6,2,2,1,2,2,2,2,2,2,2
59,6,4,2,1,1,2,1,2,4,3,1,1,3,6,6,6,6,6,6,6,6,6,6
59,6,5,6,1,2,2,3,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,1
48,5,4,1,1,1,1,3,1,4,3,1,1,4,6,6,6,6,6,6,6,6,6,6
10,1,4,5,2,2,2,3,2,2,2,2,2,6,2,2,1,2,1,2,2,2,2,2
59,6,3,3,1,2,2,1,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,2,5,1,3,2,1,2,3,3,1,1,4,6,6,6,6,6,6,6,6,6,6
59,6,3,5,1,3,2,1,3,1,3,2,1,4,6,6,6,6,6,6,6,6,6,6
12,1,5,5,2,3,2,1,2,3,3,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,2,2,2,2,2,1,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,2,2,3,2,1,2,3,3,2,1,4,6,6,6,6,6,6,6,6,6,6
10,1,4,6,2,2,2,3,2,3,2,2,2,6,2,2,2,2,2,2,2,1,1,2
48,5,4,4,1,3,2,1,3,1,3,2,1,4,6,6,6,6,6,6,6,6,6,6
11,1,6,3,2,2,1,1,1,3,2,1,1,4,6,6,6,6,6,6,6,6,6,6
35,3,2,4,2,2,2,1,3,1,2,2,1,4,6,6,6,6,6,6,6,6,6,6
48,5,5,4,2,2,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,1,6,2,1,2,3,3,1,1,2,2,6,2,2,2,2,2,2,2,1,2,2
24,2,5,2,1,2,2,1,1,3,2,2,1,3,6,6,6,6,6,6,6,6,6,6
35,3,2,4,2,1,2,1,1,4,3,1,1,3,6,6,6,6,6,6,6,6,6,6
35,3,4,2,2,2,2,3,1,4,3,2,1,4,6,6,6,6,6,6,6,6,6,6
12,1,4,5,2,2,2,3,2,2,2,2,1,3,6,6,6,6,6,6,6,6,6,6
35,3,4,5,2,2,2,2,2,3,3,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,2,2,1,2,2,2,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,5,2,1,2,3,4,2,2,2,1,1,6,6,6,6,6,6,6,6,6,6
24,2,4,2,2,2,2,1,1,4,2,2,1,4,6,6,6,6,6,6,6,6,6,6
48,5,5,6,2,1,2,3,3,1,1,2,2,6,2,2,2,1,2,2,2,2,1,2
47,4,5,4,2,2,2,1,2,4,2,1,1,4,6,6,6,6,6,6,6,6,6,6
48,5,4,3,1,1,2,1,1,3,1,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,2,2,3,2,1,2,4,3,1,1,4,6,6,6,6,6,6,6,6,6,6
10,1,4,4,1,1,2,1,2,3,2,1,1,4,6,6,6,6,6,6,6,6,6,6
10,1,5,6,2,1,2,3,2,2,1,2,2,6,2,2,1,2,2,2,2,2,2,2
24,2,4,2,1,2,2,1,2,2,2,2,1,2,6,6,6,6,6,6,6,6,6,6
59,6,4,3,1,2,2,1,1,4,2,2,1,4,6,6,6,6,6,6,6,6,6,6
59,6,4,2,1,2,2,1,2,2,2,1,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,4,1,2,2,2,2,2,2,2,1,2,6,6,6,6,6,6,6,6,6,6
59,6,4,4,1,2,2,1,3,1,2,2,2,6,2,2,2,1,2,2,2,2,2,2
35,3,4,5,1,3,2,3,3,1,3,2,1,3,6,6,6,6,6,6,6,6,6,6
13,1,4,6,1,1,2,3,2,2,1,2,2,6,2,2,2,2,2,2,2,1,2,2
35,3,4,6,1,1,2,3,2,2,1,2,2,6,2,2,2,2,2,2,2,2,1,2
48,5,4,4,1,3,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,5,6,2,2,2,3,3,1,2,2,1,3,6,6,6,6,6,6,6,6,6,6
11,1,6,6,2,1,2,3,3,1,1,2,2,6,2,1,1,2,1,2,2,2,2,2
13,1,5,5,2,2,2,1,2,2,2,2,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,6,1,2,2,1,2,2,2,2,2,6,2,2,2,2,2,2,1,2,2,2
59,6,4,3,2,1,2,1,1,2,1,2,1,4,6,6,6,6,6,6,6,6,6,6
59,6,4,2,2,2,1,1,2,3,3,1,1,4,6,6,6,6,6,6,6,6,6,6
47,4,4,2,1,2,2,1,3,1,2,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,4,2,2,3,2,1,3,1,3,2,1,4,6,6,6,6,6,6,6,6,6,6
59,6,4,6,1,3,2,3,2,2,3,2,1,3,6,6,6,6,6,6,6,6,6,6
59,6,5,2,1,1,2,1,4,2,1,2,1,2,6,6,6,6,6,6,6,6,6,6
35,3,4,1,1,3,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
12,1,4,1,2,3,2,1,2,4,3,1,1,4,6,6,6,6,6,6,6,6,6,6
35,3,4,6,1,3,2,1,2,2,3,2,1,4,6,6,6,6,6,6,6,6,6,6
24,2,5,5,2,2,2,3,3,1,2,2,2,6,2,2,2,1,2,2,2,2,2,1
